"","MaxLength_Large","MaxLength_Medium","MaxLength_Small","MaxLength_V.Small","PLD_Long","PLD_Medium","PLD_Short","PLD_V.Long","Trophic_Corrallivore","Trophic_Detritivore","Trophic_Herbivore","Trophic_Omnivore","Trophic_Piscivore","Trophic_Planktivore","Trophic_Predator","Position_Benthic","Position_CnidarianAssociated","Position_Demersal","Position_Pelagic","Position_ReefPelagic","Position_SandAssociated","Position_SubBenthic","Position_UpperBenthic","ParentalMode_brooders","ParentalMode_demersal","ParentalMode_Live.bearers","ParentalMode_Nesters","ParentalMode_scatterers","Cluster"
"JP3_T3",0,0,0.932988820724742,0.0670111792752576,0,0.646499499211143,0.353500500788857,0,0.055780438732745,0.600830023220878,0.111144630555109,0.0431246816322604,0,0.0754699566112042,0.113650269247804,0.71117975057574,0.112575057117048,0,0,0,0,0,0.176245192307211,0,0,0,0.139374211311749,0.860625788688251,"Tropical"
"JP3_T4",0,0.0972581211286999,0.86022133092796,0.0425205479433398,0,0.210468171692056,0.789531828307944,0,0.00922895710897886,0.103304179858136,0.483745117797896,0.124880431228776,0,0.185311208235816,0.0935301057703971,0.270961122527814,0.0792787400758837,0,0,0,0,0,0.649760137396302,0,0,0,0.249787472170694,0.750212527829306,"Tropical"
"JP3_T1",0.0771132313045713,0.208618209835888,0.703001568992947,0.0112669898665939,0,0.278041995793856,0.721958004206144,0,0.00853008278450988,0.0894357487183415,0.251074973016843,0.168144492232603,0.0960970789350843,0.343681432410202,0.0430361919024162,0.303769353961361,0.011840050364368,0,0,0,0,0,0.684390595674271,0,0,0,0.352396933725484,0.647603066274516,"Tropical"
"JP3_T2",0,0.0643901990573726,0.894372599422665,0.0412372015199626,0,0.60718572807742,0.392799808219577,0,0.0368962759741219,0.558322603883887,0.131306098775863,0.0259600246019852,0,0.135819586913043,0.1116954098511,0.789622989700953,0.0483042598779309,0,0,0,0,0,0.162072750421116,0,0,0,0.166162817358074,0.833837182641926,"Tropical"
"JP3_T5",0,0.16193809312706,0.829487431920024,0.0085744749529163,0,0.302413848514097,0.697586151485903,0,0.0318609181260045,0.260208037064146,0.310262761022205,0.0325597238498996,0,0.155149154200321,0.209959405737424,0.428355700217266,0.0558409379308488,0,0,0,0,0,0.515803361851886,0,0,0,0.227554400504693,0.772445599495307,"Tropical"
"JP4_T2",0,0.214452038219229,0.755900812151548,0.0296471496292227,0,0.549143266510829,0.450856733489171,0,0.00987707286706795,0.222757407714091,0.376237650188693,0.0549746667017154,0.00177253505155106,0.194596985501838,0.139783681975044,0.322955164488222,0.0198278830206942,0,0,0,0,0.0116954825269613,0.645521469964122,0,0,0,0.213147434818394,0.786852565181606,"Tropical"
"JP4_T3",0,0.129692448020267,0.86107061558492,0.00923693639481288,0,0.373844862920983,0.626155137079017,0,0.00846500532405739,0.202032172760171,0.379409987099472,0.0445178783831236,0,0.117358487895047,0.248216468538129,0.249762358039756,0.00511369981624833,0,0,0,0,0,0.745123942143996,0,0,0,0.124102472895323,0.875897527104677,"Tropical"
"JP4_T1",0,0.141817077751521,0.824682721769609,0.0335002004788699,0,0.525736802803343,0.474263197196657,0,0.0157373606679133,0.447575024231304,0.202225333158086,0.00959753867659338,0.0154769860615857,0.0367149084262727,0.272672848778244,0.521417479487664,0.03344631390206,0,0,0,0,0,0.445136206610276,0,0,0,0.045035145873376,0.954964854126624,"Tropical"
"JP4_T5",0.0937298845154322,0.398464973889308,0.494742295866738,0.0130628457285222,0,0.236555519681993,0.763444480318007,0,0.0247482513736655,0.0615102762000762,0.474196091972458,0.0292823213002094,0,0.160324664242005,0.249938394911586,0.255004154588341,0.00806631960125832,0,0,0,0,0.00851743676558512,0.728412089044815,0,0,0,0.158568053090798,0.841431946909202,"Tropical"
"JP4_T4",0,0.15359119779447,0.826966962484441,0.0194418397210893,0,0.393999169112923,0.606000830887077,0,0.0243515334005233,0.0733629185033543,0.253350012969769,0.0376955733810253,0,0.0506781955631471,0.560561766182181,0.183872468095937,0.000145509044674056,0,0,0,0,0.0864411394709709,0.729540883388418,0,0,0,0.0721865926633258,0.927813407336674,"Tropical"
"JP5_T2",0,0,0.477083910184542,0.522916089815458,0.0828123824785098,0.197170169360941,0.202698942823723,0,0,0,0,0.00559758447863251,0,0.298376210127315,0.696026205394053,0.677053469348169,0,0,0,0,0,0,0.322946530651831,0.218942295209511,0,0.0828123824785098,0.303973794605947,0.394271527706032,"Temperate"
"JP5_T3",0,0,0.84373344407492,0.15626655592508,0,0.0453304039554128,0.636616144729809,0,0,0,0,0.00279909526892772,0,0.193621377955456,0.803579526775616,0.579310503338297,0,0.0493616106941465,0,0,0,0,0.371327885967557,0.0129671249059871,0,0,0.162640254261454,0.824392620832558,"Temperate"
"JP5_T1",0,0.0476654059929413,0.334799889241919,0.617534704765139,0.154310391781149,0.0476654059929413,0.17750773024434,0,0,0,0,0.00259785508683424,0.0476654059929413,0.0346161390661651,0.915120599854059,0.923843835978716,0,0.0476654059929413,0,0,0,0,0.0284907580283431,0.58032071061214,0,0.154310391781149,0.0427936164562635,0.222575281150447,"Temperate"
"JP5_T6",0,0,0.546769723160961,0.453230276839039,0.117930897526042,0.0203069211596381,0.408531904475281,0,0,0,0,0,0,0.23631320306852,0.76368679693148,0.750367987217449,0,0,0,0,0,0,0.249632012782551,0.216917073770519,0,0.117930897526042,0.23631320306852,0.428838825634919,"Temperate"
"JP5_T7",0,0,0.333862696834031,0.666137303165969,0.0394759819982174,0.0230059288440472,0.234472280692995,0,0,0,0,0.00465143119902769,0,0.136304166448581,0.859044402352391,0.877633196072811,0,0,0,0,0,0,0.122366803927189,0.526653960461755,0,0.0394759819982174,0.139483342704215,0.294386714835813,"Temperate"
"JP5_T4",0,0.163083735641402,0.633465145404728,0.20345111895387,0.17078057436732,0.0279772438696298,0.602332672360869,0,0,0,0.146266513028267,0.00454160955168894,0,0.122782777108551,0.726409100311494,0.767079435580169,0,0,0,0,0.0493278727789851,0,0.183592691640846,0.125454605072616,0,0.17078057436732,0.106246425079234,0.59751839548083,"Temperate"
"JP5_T5",0,0,0.804156380944541,0.195843619055459,0,0.00445277517512573,0.681226947098126,0,0,0,0,0.00100698076316954,0,0.230953341246436,0.768039677990394,0.490044969464323,0,0,0,0,0,0,0.509955030535677,0,0,0,0.227985280227663,0.772014719772337,"Temperate"
"JP6_T3",0,0,0.947541291835469,0.0524587081645307,0.0919844413401706,0.0077280856834974,0.700735579351304,0,0,0,0.587767348086832,0.00310599536002243,0,0.0306433660899616,0.378483290463184,0.218879509632112,0,0,0,0,0,0,0.781120490367888,0.0187093467145466,0,0.0919844413401706,0.00310599536002243,0.88620021658526,"Temperate"
"JP6_T4",0,0.552216622757025,0.195288316319573,0.252495060923402,0.0100688042483354,0.555534943295525,0.13526204671522,0,0,0,0,0.00133947163600391,0.552216622757025,0.211409256237609,0.235034649369362,0.177408200720367,0,0.552216622757025,0,0,0,0,0.270375176522608,0.132568404748251,0,0.0100688042483354,0.0257394460762968,0.831623344927117,"Temperate"
"JP6_T1",0,0,0.942396931745222,0.057603068254778,0,0.0267369041495901,0.924939699244888,0,0,0,0,0.269167651521967,0,0.057603068254778,0.673229280223255,0.62551705869927,0,0,0,0,0,0,0.37448294130073,0,0,0,0.0169669019431525,0.983033098056847,"Temperate"
"JP6_T2",0,0,0.963852717820471,0.0361472821795295,0,0.111675727725972,0.845905800506808,0,0,0,0.676201784913768,0.00110817906014349,0,0.0338392073726364,0.288850828653452,0.991390464111062,0,0,0,0.00123016724110365,0,0,0.00737936864783425,0.00234286294896967,0,0,0.0361775536738836,0.961479583377147,"Temperate"
"JP6_T5",0,0,0.470005220299049,0.529994779700952,0.0236250456266004,0.0250526750994103,0.189394072906972,0,0,0,0,0.00335023976838409,0,0.478832151031329,0.517817609200287,0.238432310845087,0,0,0,0,0,0,0.761567689154913,0.0478123889012384,0.0402755258731081,0.0236250456266004,0.00900674629448796,0.879280293304565,"Temperate"
"JP7_T2",0,0.554536819819251,0.410629754796075,0.0348334253846738,0,0.691416222016025,0.2716756309551,0,0,0,0.251726951123174,0,0.693628892329573,0.0326207550711259,0.0220234014761271,0.445463180180749,0,0.554536819819251,0,0,0,0,0,0,0.00650006227129657,0,0.0330971071915765,0.960402830537127,"Temperate"
"JP7_T3",0,0,0.918779920558577,0.0812200794414229,0,0.343499293301141,0.561618116534696,0,0,0,0.483737700089865,0.150510128523803,0,0.139856293717499,0.225895877668833,0.633644467254182,0,0,0,0.00174284320997481,0,0,0.364612689535843,0,0,0,0.0860445092430998,0.870573140162177,"Temperate"
"JP7_T4",0,0,0.984823273114343,0.0151767268856565,0,0.64788789287851,0.190947029440706,0,0,0,0.730595713089421,0.00317358407912881,0,0.00873949352386637,0.257491209307584,0.91288521444027,0,0,0,0.00326364928266132,0,0,0.0838511362770688,0.0800253160454265,0,0,0.0151767268856565,0.904797957068917,"Temperate"
"JP7_T1",0,0.521485928786391,0.478514071213609,0,0,0.811352476772672,0.188647523227328,0,0,0,0.398069302346335,0,0.521485928786391,0.0185434084936044,0.06190136037367,0.463724095741385,0,0.521485928786391,0,0,0,0,0.0147899754722246,0,0,0,0.00338948057461116,0.965624447286573,"Temperate"
"JP7_T5",0,0,0.924743272449524,0.0752567275504764,0,0.0531642714263931,0.719398386261203,0,0,0,0,0.00929079920067353,0,0.20716214953402,0.783547051265306,0.644168093426789,0,0,0,0,0,0,0.355831906573211,0.00258186986051169,0,0,0.0752567275504764,0.922161402589012,"Temperate"
